age,Sr
7.48,0.708920
7.50,0.708915
7.60,0.708932
7.70,0.708897
7.80,0.708911
7.90,0.708896
8.00,0.708895
8.02,0.708929
8.10,0.708921
8.20,0.708907
8.27,0.708878
8.27,0.708997
8.30,0.708898
8.34,0.708878
8.40,0.708876
8.50,0.708909
8.60,0.708920
8.60,0.708974
8.65,0.708890
8.70,0.708917
8.80,0.708911
8.90,0.708890
9.00,0.708892
9.11,0.708874
9.20,0.708856
9.30,0.708920
9.40,0.708876
9.56,0.708898
9.56,0.708889
9.60,0.708851
9.61,0.708942
9.80,0.708859
9.90,0.708949
10.00,0.708861
10.05,0.708934
10.21,0.708850
10.25,0.708876
10.40,0.708856
10.50,0.708884
10.61,0.708818
10.80,0.708838
11.00,0.708838
11.03,0.708847
11.03,0.708927
11.07,0.708875
11.10,0.708917
11.23,0.708826
11.42,0.708824
11.65,0.708795
11.67,0.708891
11.80,0.708801
11.84,0.708852
11.84,0.708845
11.86,0.708816
12.00,0.708804
12.09,0.708853
12.20,0.708789
12.20,0.708891
12.20,0.708874
12.20,0.708877
12.20,0.708961
12.38,0.708838
12.41,0.708790
12.50,0.708969
12.61,0.708799
12.71,0.708978
12.71,0.708816
12.79,0.708848
12.81,0.708791
12.94,0.708899
13.00,0.708910
13.02,0.708796
13.11,0.708853
13.11,0.708844
13.19,0.708785
13.33,0.708823
13.39,0.708770
13.40,0.708868
13.53,0.708824
13.53,0.708828
13.59,0.708785
13.77,0.708761
13.80,0.708888
13.88,0.708929
13.90,0.708911
13.98,0.708843
14.30,0.708876
14.49,0.708822
14.50,0.708630
14.70,0.708848
14.80,0.708760
14.80,0.708800
14.80,0.708795
14.85,0.708786
15.01,0.708742
15.10,0.708802
15.16,0.708772
15.40,0.708777
15.47,0.708716
15.74,0.708713
15.90,0.708728
16.00,0.708745
16.07,0.708716
16.10,0.708698
16.22,0.708731
16.30,0.708788
16.40,0.708702
16.64,0.708776
16.81,0.708704
17.10,0.708637
17.26,0.708672
17.37,0.708679
17.52,0.708667
17.57,0.708667
17.60,0.708643
17.70,0.708714
17.83,0.708610
18.00,0.708557
18.05,0.708639
18.07,0.708607
18.29,0.708459
18.31,0.708606
18.37,0.708699
18.37,0.708691
18.463,0.708525
18.55,0.708557
18.563,0.708501
18.663,0.708502
18.663,0.708498
18.663,0.708511
18.68,0.708647
18.764,0.708504
18.89,0.708494
19.00,0.708585
19.00,0.708515
19.12,0.708513
19.22,0.708577
19.36,0.708512
19.47,0.708539
19.60,0.708496
19.84,0.708498
19.871,0.708435
19.90,0.708515
19.93,0.708487
19.99,0.708518
19.99,0.708520
20.087,0.708421
20.087,0.708424
20.28,0.708445
20.28,0.708458
20.42,0.708477
20.58,0.708437
20.63,0.708445
20.82,0.708484
20.85,0.708455
21.00,0.708446
21.05,0.708453
21.06,0.708375
21.15,0.708375
21.16,0.708447
21.27,0.708385
21.30,0.708318
21.49,0.708398
21.77,0.708425
21.98,0.708359
22.00,0.708382
22.19,0.708386
22.41,0.708362
22.58,0.708273
22.58,0.708366
22.58,0.708379
22.61,0.708335
22.69,0.708351
22.83,0.708322
22.85,0.708392
22.97,0.708345
22.97,0.708379
23.03,0.708308
23.05,0.708325
23.05,0.708317
23.13,0.708306
23.20,0.708265
23.25,0.708295
23.34,0.708317
23.38,0.708155
23.52,0.708311
23.55,0.708290
23.70,0.708169
23.71,0.708266
23.75,0.708201
23.80,0.708211
23.87,0.708252
23.91,0.708261
23.91,0.708290
23.95,0.708252
23.96,0.708170
23.99,0.708245
24.02,0.708262
24.06,0.708191
24.10,0.708244
24.11,0.708230
24.22,0.708243
24.26,0.708247
24.28,0.708245
24.33,0.708225
24.50,0.708274
24.70,0.708226
24.872,0.708193
25.017,0.708176
25.03,0.708159
25.05,0.708211
25.161,0.708115
25.306,0.708138
25.40,0.708139
25.450,0.708110
25.595,0.708110
25.64,0.708146
25.695,0.708130
25.695,0.708113
25.855,0.708123
25.999,0.708092
25.999,0.708086
26.00,0.708115
26.144,0.708103
26.288,0.708085
26.433,0.708090
26.50,0.708111
26.564,0.708095
26.60,0.708161
26.665,0.708112
26.665,0.708106
26.766,0.708123
26.766,0.708093
26.868,0.708096
26.868,0.708104
26.969,0.708085
26.969,0.708098
27.071,0.708093
27.10,0.708069
27.20,0.708159
